학교명,lat,lon,등급
대신고등학교,37.573123769216,126.96125454884,하
동명여자고등학교,37.6144187859471,126.92282044301,하
강동고등학교,37.5499166487971,127.160668324892,하
송곡여자고등학교,37.6066890425626,127.105145451077,하
청담고등학교,37.5279473627751,127.043866627763,하
서울외국어고등학교,37.6457807932104,127.0515086969,하
서울예술고등학교,37.6057568225162,126.967890699043,하
신서고등학교,37.5239143189255,126.860209579436,하
경기여자고등학교,37.4869545236322,127.06612364407,하
대진여자고등학교,37.6461248249441,127.06719658578,하
보인고등학교,37.4975692004431,127.139517839227,하
명덕고등학교,37.5538694849081,126.8339773378,하
광남고등학교,37.541514723184,127.101213923003,하
금옥여자고등학교,37.5109653172242,126.843971681779,하
한성여자고등학교,37.583064896247,127.011742675693,하
장훈고등학교,37.5133455931748,126.916228547854,하
대일관광고등학교,37.5114137684075,126.834906714744,하
중화고등학교,37.6048146052263,127.083654104942,하
수명고등학교,37.5497618629354,126.824766247612,하
자양고등학교,37.536077967735,127.073339535384,하
숭문고등학교,37.5508909515504,126.945886852057,하
명지고등학교,37.5849113531243,126.927090249447,하
광성고등학교,37.5486975552073,126.935969575594,하
서울금융고등학교,37.5376595496119,126.825914607519,하
서라벌고등학교,37.6452565325417,127.075840635297,하
유한공업고등학교,37.4879765968891,126.823290699072,하
서울정화고등학교,37.586048641672,127.041070321981,하
상계고등학교,37.652724684304,127.055453430868,하
경문고등학교,37.4934188575707,126.982273400501,하
양정고등학교,37.5353922607054,126.887734285049,하
한서고등학교,37.5747927037293,126.808143937842,하
송곡고등학교,37.6058454355439,127.106463734951,하
동작고등학교,37.4826019423842,126.965086250636,하
구로고등학교,37.4988400846064,126.890309191986,하
구암고등학교,37.4924598533601,126.949783193871,하
경복고등학교,37.585945671102,126.971510913077,하
진관고등학교,37.643338571257,126.924382489033,하
압구정고등학교,37.5311339475008,127.032711640733,하
고척고등학교,37.5080493827144,126.849869103403,하
예일여자고등학교,37.6109458980893,126.914792838283,하
성남고등학교,37.5052815748623,126.926615278225,하
영등포여자고등학교,37.5153884476796,126.915356313843,하
백암고등학교,37.5122533613422,126.84449517891,하
리라아트고등학교,37.5576622746229,126.987778499953,하
문일고등학교,37.4489152569278,126.898720653088,하
한광고등학교,37.5388437129063,126.857939342826,하
미래산업과학고등학교,37.658779482984,127.07844069313,하
서서울생활과학고등학교,37.5038291911751,126.828259957002,하
성보고등학교,37.4807283676946,126.920957326353,하
영락의료과학고등학교,37.476541242971,126.945416499639,하
원묵고등학교,37.6152323139525,127.085507784516,하
보성여자고등학교,37.5430815444968,126.984284175086,하
계성고등학교,37.6074935996761,127.020183575106,하
솔샘고등학교,37.6237648476803,127.012068855446,하
신진과학기술고등학교,37.59871384669,126.918836393178,하
영동고등학교,37.5213890143821,127.043739258782,하
중앙여자고등학교,37.5631767195176,126.954059321222,하
강서공업고등학교,37.5760340875363,126.816181657979,하
잠실고등학교,37.522930433109,127.106515037791,하
명일여자고등학교,37.5497763325665,127.149581506712,하
광영여자고등학교,37.5371981027922,126.823275879439,하
신도고등학교,37.6291325083008,126.918748608965,하
대동세무고등학교,37.5815827310558,126.987951316186,하
동덕여자고등학교,37.4758460567445,126.992615816174,하
인창고등학교,37.564885131451,126.964023197643,하
현대고등학교,37.5254804993365,127.022377298509,하
동양고등학교,37.5690302418497,126.846888761424,하
서초고등학교,37.4896116868936,127.005378249754,하
세그루패션디자인고등학교,37.6562750160952,127.026703057445,하
성덕고등학교,37.5498545397762,127.141541303447,하
대진디자인고등학교,37.4904281491372,127.095979339516,하
서울공연예술고등학교,37.4999306587647,126.832608691425,하
미림마이스터고등학교,37.4661018035835,126.931927855676,하
언남고등학교,37.4723300184587,127.043005236379,하
서울영상고등학교,37.5233044400227,126.860293524636,하
강일고등학교,37.5638280994729,127.177903473129,하
방산고등학교,37.5083995194679,127.120469638696,하
성신여자고등학교,37.5942896306119,127.022407171613,하
서울신정고등학교,37.5384117486135,126.85717155125,하
서울도시과학기술고등학교,37.6078128032701,127.033044179358,하
청원고등학교,37.6652515464657,127.062532889006,하
양천고등학교,37.5083205987323,126.845202760621,하
동명생활경영고등학교,37.6144187859471,126.92282044301,하
단국대학교사범대학부속고등학교,37.4956174948977,127.057768228297,하
대일고등학교,37.5394886976531,126.863403109826,하
은평메디텍고등학교,37.6353465248875,126.929704776155,하
수도여자고등학교,37.4928014552579,126.914907105304,하
은광여자고등학교,37.4883484513575,127.035021467585,하
영신고등학교,37.4981009442437,126.909739022671,하
금호고등학교,37.5536214995345,127.023433782844,하
잠실여자고등학교,37.5017941334924,127.114241325581,하
성수고등학교,37.5473418143935,127.038253431317,하
수도전기공업고등학교,37.4849375350333,127.064478665219,하
재현고등학교,37.6612906377296,127.080799772038,하
영등포공업고등학교,37.5698356164942,126.850028274704,하
광신방송예술고등학교,37.4644762024804,126.925940565455,하
대원여자고등학교,37.5624502219725,127.089376716312,하
용산철도고등학교,37.5243416742733,126.967358069696,하
미림여자고등학교,37.4661018035835,126.931927855676,하
한강미디어고등학교,37.5393010496265,126.897109034358,하
이화여자외국어고등학교,37.5655773233848,126.969641663889,하
숭실고등학교,37.5932748232178,126.902403937432,하
경기상업고등학교,37.5892585316989,126.970057092906,하
화곡보건경영고등학교,37.5484055955739,126.832657307166,하
신일고등학교,37.627967222367,127.028403050284,하
영등포고등학교,37.5080854131193,126.933143709837,하
금천고등학교,37.4448950223082,126.904901769267,하
삼각산고등학교,37.6162857334914,127.020107911458,하
휘경여자고등학교,37.5819005156881,127.067434080061,하
서울여자고등학교,37.5478000312208,126.94902525222,하
중앙대학교사범대학부속고등학교,37.4918425685769,127.05169012944,하
경희여자고등학교,37.5939491407769,127.054890960564,하
한영고등학교,37.5490844724681,127.156927612469,하
중경고등학교,37.5176803956953,126.975638256286,하
수락고등학교,37.6829077650293,127.053570991513,하
양재고등학교,37.4824216431127,127.032079625373,하
혜성여자고등학교,37.6405502075269,127.073619657657,하
성암국제무역고등학교,37.6204135324231,127.023905892641,하
문현고등학교,37.4813135489878,127.128762268141,하
창문여자고등학교,37.6134009168268,127.035828005248,하
영일고등학교,37.5472872620345,126.86205890011,하
대광고등학교,37.5779546698355,127.025323479801,하
서울의료보건고등학교,37.5573014220873,126.966720436586,하
공항고등학교,37.5704610944881,126.81851983357,하
도선고등학교,37.5668439494,127.026995731182,하
서울문화고등학교,37.6641314270343,127.047285814495,하
덕수고등학교,37.4855916213524,127.1470595726,하
성심여자고등학교,37.534209370461,126.95459335968,하
성동고등학교,37.5641621970073,127.022389203196,하
건국대학교사범대학부속고등학교,37.539182674872,127.074711902268,하
서울대학교사범대학부설고등학교,37.594723843967,127.038120392429,하
세화고등학교,37.5019964569165,126.994230013893,하
구일고등학교,37.4935052933826,126.874618469825,하
당곡고등학교,37.4917603442825,126.934246405052,하
해성국제컨벤션고등학교,37.5818725994505,127.056976879173,하
혜원여자고등학교,37.5932798745236,127.097042711299,하
석관고등학교,37.6095892871169,127.066717588798,하
대경생활과학고등학교,37.5563732600255,127.016979156363,하
오류고등학교,37.5003550678039,126.827683012604,하
노원고등학교,37.6618031933787,127.054019473757,하
동성고등학교,37.5849699592551,127.003097645534,하
동북고등학교,37.5202406144077,127.139450654266,하
상일미디어고등학교,37.5485874781342,127.170823536325,하
창동고등학교,37.6510357712645,127.038819095625,하
서문여자고등학교,37.4889197255873,126.984545759343,하
한국삼육고등학교,37.643357369067,127.108850343184,하
신광여자고등학교,37.5428998795519,126.969447523164,하
동일여자고등학교,37.4519206711218,126.915824008297,하
서울문영여자중학교,37.4729045674501,126.950918062755,중
장위중학교,37.6112817727174,127.040874553779,상
대성중학교,37.6231422778381,126.909790703133,하
덕산중학교,37.6022573973254,126.904677132229,하
상현중학교,37.4941557795456,126.960607735677,중
광양중학교,37.5308913414973,127.08616998675,중
신길중학교,37.5020345359595,126.915435514602,중
상일중학교,37.5485874781342,127.170823536325,중
녹천중학교,37.6310791072444,127.061742156935,중
구산중학교,37.6098720248468,126.90948871144,중
불광중학교,37.6231798247545,126.932389206759,하
봉림중학교,37.4811981682395,126.937702673305,하
신현중학교,37.6044645795756,127.091532797561,중
영동중학교,37.465986287158,127.025140749981,중
상계중학교,37.6526541000987,127.068552458297,상
성서중학교,37.5627873046831,126.907952181324,상
경일중학교,37.5438083798316,127.047853796815,하
강신중학교,37.5151371613165,126.838160107241,상
언주중학교,37.5146531581428,127.046683245003,상
한양중학교,37.5658716036039,127.011443307588,하
해누리중학교,37.4984115921213,127.102124196858,상
성산중학교,37.5473163695853,126.916562846457,하
방산중학교,37.5093439082296,127.121567809411,중
내곡중학교,37.4520032504691,127.054444623274,중
관악중학교,37.4812582784976,126.961912338875,중
대광중학교,37.5779546698355,127.025323479801,하
미성중학교,37.4753828116217,126.912088901502,중
성산중학교,37.5473163695853,126.916562846457,중
광남중학교,37.5408304051926,127.101643877784,상
한성여자중학교,37.5819996035219,127.011312749775,중
숭곡중학교,37.6084784793818,127.031299801245,상
장평중학교,37.5668596067189,127.070477570556,중
경신중학교,37.5922022663657,126.999531005507,상
대왕중학교,37.4834603317394,127.087338052671,상
덕산중학교,37.6022573973254,126.904677132229,상
남강중학교,37.4713756726623,126.924909105757,중
경일중학교,37.5438083798316,127.047853796815,하
연천중학교,37.6275452130621,126.925819848355,중
중원중학교,37.644238678695,127.068029512763,상
오륜중학교,37.5162947747499,127.13852222328,중
명덕여자중학교,37.5538694849081,126.8339773378,중
성신여자중학교,37.5946226781717,127.023128563512,중
강동중학교,37.5696502492074,127.177836046342,상
동일중학교,37.4519206711218,126.915824008297,중
대방중학교,37.4954367843295,126.91301619957,상
이수중학교,37.4806300322796,126.989859045395,상
